,city,clouds,humidity,tempf,pressure,wind speed,latitude,longitude
235,Hualmay,80,81,62.18,986.9,1.57,-11.1,-77.61
236,Bontang,20,97,82.52,1021.75,1.47,0.12,117.47
237,Baijiantan,12,58,58.76,990.06,7.37,45.63,85.18
238,Talara,12,76,70.55,1009.19,4.22,-4.58,-81.27
239,Sao Filipe,0,96,78.92,1015.91,6.02,14.9,-24.5
240,Longyearbyen,75,74,30.18,1006.0,5.1,78.22,15.63
241,Santa Maria,90,87,58.98,1015.0,4.1,-29.69,-53.81
242,Upernavik,12,100,31.85,1029.21,3.97,72.79,-56.15
243,Trelew,24,29,50.39,1015.59,5.12,-43.25,-65.31
244,Staroderevyankovskaya,0,96,60.29,1026.29,2.67,46.13,38.96
245,Kodiak,1,62,82.02,1013.0,5.1,39.95,-94.76
246,Moundsville,90,88,70.75,1020.0,5.1,39.92,-80.74
247,Nsanje,0,76,68.03,1008.78,2.77,-16.92,35.26
248,Zonguldak,8,99,58.13,1007.24,1.97,41.25,31.83
249,Albania,80,100,64.88,853.88,0.97,5.76,-73.91
250,Los Banos,1,37,84.34,1006.0,2.1,37.06,-120.85
251,Stromness,90,90,61.68,1016.0,3.6,42.87,-79.55
252,La Ronge,40,43,35.58,1010.0,3.1,55.1,-105.3
253,Praia,0,64,73.38,1018.0,2.6,-20.25,-43.81
254,Luwuk,8,90,79.1,1010.16,2.12,-0.95,122.79
255,Pudozh,80,93,43.82,1001.08,3.62,61.81,36.54
256,Port Lincoln,88,98,56.96,1030.67,8.77,-34.72,135.86
257,Edd,0,84,68.03,980.17,0.62,13.93,41.69
258,Novyye Burasy,0,40,51.78,1014.0,4.0,52.13,46.08
259,Placido de Castro,20,89,77.75,1001.33,0.92,-10.34,-67.19
260,Dafeng,12,85,65.06,1034.72,2.12,33.2,120.46
261,Yayva,76,90,42.47,1008.13,4.27,59.33,57.26
262,Gamba,24,62,17.45,564.33,1.02,28.28,88.52
263,Nautla,68,100,81.17,1027.18,5.37,20.22,-96.78
264,Isangel,32,100,73.16,1021.59,7.52,-19.55,169.27
265,Eureka,90,81,66.09,1011.0,1.5,40.8,-124.16
266,Pliska,40,100,55.38,1017.0,2.1,43.36,27.12
267,Muli,0,77,69.38,1012.19,1.37,22.62,71.45
268,Mackay,75,61,31.08,1014.0,3.1,53.65,-115.58
269,Longyan,0,75,62.81,950.74,1.17,25.1,117.03
270,Beboto,20,93,71.54,975.22,4.22,8.27,16.94
271,French Harbor,75,94,76.98,1011.0,1.5,16.35,-86.43
272,Ilulissat,0,49,26.58,1017.0,4.1,69.22,-51.1
273,Buala,76,100,80.18,1014.21,1.82,-8.15,159.59
274,Yining,0,70,59.75,986.09,0.97,29.04,114.56
275,Freeport,32,94,83.42,1029.7,7.72,26.54,-78.7
276,San Patricio,44,92,65.33,1015.1,2.42,-26.98,-56.83
277,Nemuro,20,82,60.78,1014.0,4.6,43.32,145.57
278,Dryden,90,81,48.18,1012.0,5.7,49.79,-92.84
279,Mayumba,92,98,75.59,1014.21,1.62,-3.44,10.65
280,Sinegorye,64,92,22.13,900.89,0.82,62.09,150.53
281,Butajira,0,80,47.78,769.25,2.12,8.12,38.38
282,Kaitangata,0,79,53.09,1015.75,1.67,-46.28,169.85
283,Opuwo,0,26,70.73,885.41,3.02,-18.06,13.84
284,Sorong,20,100,78.2,1022.56,4.47,-0.86,131.25
285,Faya,0,38,62.62,1026.0,2.1,18.39,42.45
286,Aksarayskiy,0,93,53.58,1017.0,2.0,46.79,48.01
287,Saint-Pierre,90,93,52.59,1024.0,5.7,48.95,4.24
288,Ust-Kut,92,100,39.5,956.58,2.27,56.78,105.75
289,Roura,0,100,75.18,1011.0,4.92,4.73,-52.33
290,Omboue,80,100,78.11,1025.16,2.87,-1.57,9.26
291,Vanimo,0,100,84.23,1024.75,4.32,-2.67,141.3
292,Kant,0,80,31.04,792.11,1.32,42.89,74.85
293,Te Anau,8,80,45.53,968.01,3.87,-45.41,167.72
294,Canandaigua,90,100,65.77,1015.0,3.1,42.88,-77.28
295,Husavik,92,100,40.4,993.87,4.17,50.56,-96.99
296,Oistins,92,99,82.7,1023.86,5.92,13.07,-59.53
297,Swinoujscie,40,81,48.18,1005.0,7.2,53.91,14.25
298,Kruisfontein,92,88,59.48,1033.99,5.67,-34.0,24.73
299,Egra,12,75,80.72,1020.94,3.97,21.9,87.54
300,Bosaso,0,100,80.81,1015.59,1.87,11.28,49.18
301,Sangar,88,93,33.29,986.65,1.32,63.92,127.47
302,Pochutla,75,70,85.28,1009.0,5.1,15.74,-96.47
303,Iguape,88,99,71.54,1020.05,2.57,-24.7,-47.56
304,Cabo San Lucas,75,83,82.54,1014.0,2.1,22.89,-109.91
305,Bria,48,97,68.84,955.85,2.92,6.54,21.99
306,Padang,32,100,81.08,1017.94,1.92,-0.92,100.36
307,Guerrero Negro,20,100,72.17,1014.86,2.07,27.97,-114.04
308,Gornopravdinsk,88,87,43.01,1023.62,2.62,60.06,69.92
309,Mareeba,40,61,76.98,1018.0,7.7,-16.99,145.42
310,Batangafo,24,93,69.65,974.58,1.32,7.3,18.29
311,Manggar,0,84,82.07,1020.05,3.42,-2.88,108.27
312,Xuddur,24,84,70.91,965.58,4.57,4.12,43.89
313,Kalianget,56,94,69.29,950.18,1.57,-7.35,109.91
314,Coquimbo,0,87,53.58,1015.0,2.1,-29.95,-71.34
315,Torbay,20,86,37.38,1030.0,4.02,47.66,-52.73
316,Ponta Delgada,40,88,69.78,1018.0,4.6,37.73,-25.67
317,Sinnamary,0,91,82.88,1023.13,6.47,5.38,-52.96
318,Mount Isa,0,25,84.18,1018.0,5.7,-20.73,139.49
319,Tabory,92,98,47.87,1000.6,10.37,53.89,19.53
320,Hornepayne,0,84,44.99,988.76,2.77,49.22,-84.78
321,Margate,75,76,53.58,1012.0,8.2,-43.03,147.26
322,Barcelos,0,47,58.17,1021.0,4.1,41.53,-8.62
323,Manyana,64,80,65.42,1026.61,5.37,-35.26,150.51
324,Adolfo Lopez Mateos,0,50,90.08,999.54,1.42,26.8,-109.39
325,Borogontsy,36,76,36.62,992.98,2.87,62.67,131.17
326,Yar-Sale,12,100,34.1,1021.35,4.17,66.83,70.83
327,Lompoc,20,53,73.43,1010.0,4.1,34.64,-120.46
328,Grindavik,20,69,38.33,1013.0,1.0,63.84,-22.43
329,Baykit,56,73,31.22,960.8,4.97,61.68,96.39
330,Ulkan,92,100,44.18,959.5,2.27,57.24,107.32
331,Hambantota,48,100,77.39,1018.91,2.97,6.12,81.12
332,Shache,0,84,40.31,893.27,1.77,38.42,77.24
333,Coahuayana,8,46,83.15,900.0,0.97,18.62,-100.35
334,Mantua,0,87,49.37,1021.0,2.1,45.16,10.79
335,Kaspiyskiy,24,98,62.36,1033.1,4.67,45.39,47.37
336,Bonavista,0,100,43.82,1043.15,4.22,48.65,-53.11
337,Misratah,0,100,72.44,1021.59,3.27,32.38,15.09
338,Seymchan,20,100,26.18,964.36,1.67,62.93,152.39
339,Port-Gentil,92,100,77.66,1024.75,1.77,-0.72,8.78
340,Caravelas,0,100,77.57,1030.42,8.72,-17.73,-39.27
341,Byron Bay,8,53,71.58,1022.0,4.1,-28.65,153.62
342,Sharya,92,98,47.15,1004.97,2.32,58.37,45.52
343,Talnakh,0,100,30.41,997.43,6.02,69.49,88.39
344,Payo,48,72,80.27,1013.08,3.17,-3.75,103.64
345,Iberia,8,66,82.34,988.92,1.52,-11.41,-69.49
346,Vostok,8,77,44.9,963.06,2.32,46.45,135.83
347,Meulaboh,32,100,77.93,1020.7,1.77,4.14,96.13
348,Dunedin,0,83,51.29,992.33,1.22,-45.87,170.5
349,Areia Branca,20,69,76.98,1015.0,4.6,-10.76,-37.31
350,Juba,36,87,44.58,997.0,3.1,57.82,26.93
351,High Rock,68,100,82.07,1029.86,8.37,26.63,-78.28
352,Albufeira,20,100,69.78,1019.0,1.0,37.09,-8.25
353,Micheweni,80,100,77.75,1028.56,5.12,-4.97,39.83
354,Tilichiki,76,91,45.62,978.63,2.77,60.47,166.1
355,Watertown,90,92,55.78,1010.0,5.7,44.9,-97.12
356,Souillac,90,82,53.26,1029.0,1.5,45.6,-0.6
357,Hohhot,0,64,40.98,1026.0,2.0,40.81,111.65
358,Springbok,36,36,55.97,931.78,6.77,-29.67,17.88
359,Baruun-Urt,0,45,42.74,910.54,4.72,46.68,113.28
360,Russell,0,52,64.38,1016.0,1.5,-33.01,-68.8
361,Hamilton,75,69,78.78,1016.0,9.3,32.3,-64.78
362,Pyshchug,92,99,45.98,1000.6,2.77,58.89,45.71
363,North Bend,1,67,60.38,1013.0,6.2,43.41,-124.22
364,Pinyug,92,98,44.18,999.06,2.67,60.25,47.79
365,Santiago,0,33,62.58,1019.0,4.6,-33.44,-70.65
366,Arkhipo-Osipovka,88,97,64.52,1015.51,2.52,44.37,38.53
367,Keroka,68,90,60.65,851.2,1.47,-0.78,34.95
368,Barinas,64,85,79.82,1006.27,1.37,8.64,-70.23
369,Lagoa,20,100,69.78,1019.0,1.0,37.14,-8.45
370,Bar Harbor,90,96,51.26,1019.0,3.1,44.39,-68.2
371,Turukhansk,92,94,33.38,1005.86,7.92,65.8,87.96
372,Garowe,92,94,70.01,970.44,2.32,8.41,48.48
373,Constitucion,40,43,73.38,1022.0,3.6,23.99,-104.67
374,Adrar,0,23,76.98,1015.0,3.6,27.87,-0.29
375,Tandil,76,41,53.18,1006.27,5.57,-37.33,-59.14
376,Bhinmal,32,57,78.56,1010.4,2.57,25.01,72.27
377,Maine-Soroa,0,66,78.92,988.44,1.22,13.21,12.02
378,Omis,0,72,58.98,1018.0,2.6,43.44,16.69
379,Aranos,48,24,70.73,894.0,4.77,-24.14,19.11
380,Mayya,0,75,40.98,1003.0,2.0,61.74,130.28
381,Saldanha,0,61,49.58,964.85,2.67,41.42,-6.55
382,Katangli,44,86,50.3,1014.21,2.77,51.71,143.23
383,Rafai,92,100,67.85,961.52,4.12,4.95,23.92
384,Plettenberg Bay,88,100,60.02,1037.64,5.47,-34.05,23.37
385,Hobyo,56,90,75.77,1016.24,5.72,5.35,48.53
386,Inhambane,0,97,71.72,1023.45,6.62,-23.87,35.38
387,Fukuma,20,68,67.98,1020.0,1.5,33.77,130.47
388,Ixtapa,5,74,85.98,1010.0,4.1,20.71,-105.21
389,Waddan,0,56,72.44,978.55,1.92,29.16,16.14
390,Telde,20,78,73.38,1018.0,5.7,27.99,-15.42
391,Tupsan,56,87,81.71,1004.08,1.87,9.2,124.78
392,Orshanka,92,96,47.78,1007.65,6.37,56.92,47.89
393,Saint-Francois,90,58,55.38,1026.0,1.5,46.42,3.91
394,Kasempa,20,45,64.34,882.9,3.42,-13.46,25.83
395,Rio Tercero,0,47,56.78,972.71,4.12,-32.17,-64.11
396,Contamana,8,73,82.97,996.87,1.12,-7.35,-75.01
397,Havoysund,75,64,37.38,1001.0,10.3,71.0,24.66
398,Killybegs,92,100,54.26,1025.8,7.62,54.63,-8.45
399,Myrtle Beach,1,100,74.51,1021.0,3.37,33.7,-78.89
400,Keningau,75,79,84.18,1012.0,2.1,5.33,116.16
401,Mangrol,0,76,68.75,985.28,1.32,25.33,76.51
402,Bonthe,92,99,76.67,1024.02,1.67,7.53,-12.5
403,Preston,75,82,53.56,1024.0,4.6,53.76,-2.71
404,Abu Samrah,0,57,62.45,985.28,1.52,35.3,37.18
405,Kloulklubed,75,70,85.98,1013.0,3.1,7.04,134.26
406,Ormond Beach,40,71,79.52,1019.0,3.6,29.29,-81.06
407,Flin Flon,75,44,39.18,1010.0,4.6,54.77,-101.88
408,Concordia,0,77,53.45,1023.86,4.12,-31.4,-58.02
409,Khilok,0,78,38.24,913.29,1.12,51.36,110.46
410,Kazerun,0,65,58.04,929.75,0.97,29.62,51.65
411,Del Rio,20,63,84.9,1015.0,4.1,29.36,-100.9
412,Salina,1,69,79.75,1017.0,2.6,36.29,-95.15
